"cell","X","Y","Z"
"ID_23627","48.46641210277574","24.84638848275212","16.80808080808081"
"ID_23614","46.193340310987374","21.984374925551396","15.0"
"ID_23557","42.20287406128114","21.376216066481554","12.628318584070797"
"ID_23556","40.4871833443262","18.73053821105769","12.0"
"ID_23555","36.574875284552704","17.8625985077598","12.612903225806452"
"ID_23520","26.8262100323169","12.294974127035196","10.396946564885496"
"ID_23519","23.80450656312725","11.687597894494447","10.0"
"ID_23499","20.925713233405542","13.871090794167717","8.0"
"ID_23502","17.263438316069895","15.146067777646724","8.289473684210526"
"ID_23554","16.766091532446673","14.34029471412649","12.411214953271028"
"ID_23569","26.717299444572173","8.489099398190307","13.535353535353535"
"ID_23549","29.953551080311644","9.174938752403541","12.0"
"ID_23603","33.6940336940337","8.497341830675165","15.451851851851853"
"ID_23639","37.39808824554587","8.649923904161193","17.593220338983052"
"ID_23587","27.039900457621975","10.936719797479292","14.0"
"ID_23590","23.976292633009052","11.88269844986263","14.059701492537313"
"ID_23552","21.01864170829688","12.667254046564391","12.793103448275861"
"ID_23607","19.013925263925266","14.478764478764479","15.0"
"ID_23604","23.161523161523164","9.76875976875977","15.708333333333334"
"ID_23589","18.269177147681823","11.094403617768103","14.672897196261681"
"ID_23641","20.077846164802686","10.367619063271238","17.293478260869566"
"ID_23642","16.751445322873895","12.06001206001206","17.0"
"ID_23568","37.69541269541269","8.53088353088353","13.0"
"ID_23586","41.04337437670771","9.21000921000921","14.839506172839506"
"ID_23550","35.70110712967856","10.375724661438948","12.0"
"ID_23551","32.90594199685109","10.94319276137458","12.0"
"ID_23553","48.88710151868047","13.166539482328957","12.389473684210527"
"ID_23606","50.31983292852858","13.757296365992017","15.195652173913043"
"ID_23572","51.554840287234654","16.459875614805192","13.0"
"ID_23644","51.857829635607416","14.725570281125838","17.97530864197531"
"ID_23683","52.86847983477197","17.192039663949778","19.98876404494382"
"ID_23676","40.84938295464612","9.240403977246082","19.0"
"ID_23678","43.800793800793805","11.085761085761085","19.0"
"ID_23588","44.52375238892093","10.925404183831152","14.134831460674157"
"ID_23623","47.42393091907655","12.116808233313089","16.640776699029125"
"ID_23696","46.305964673311614","12.873686343074098","20.020408163265305"
"ID_23738","48.78118802169435","15.362673590521693","22.0"
"ID_23741","51.368405798785545","16.77077626444715","22.164556962025316"
"ID_23775","51.398801398801396","19.13751913751914","24.0"
"ID_23740","28.517047747816978","16.535785766554998","22.634615384615383"
"ID_23739","32.43253243253243","16.39668306334973","22.5"
"ID_23770","35.20923520923521","17.6016176016176","24.0"
"ID_23774","37.906668341450946","18.691649126431734","24.358695652173914"
"ID_23805","38.479213736945695","22.02311480661996","25.38144329896907"
"ID_23806","43.025443025443025","22.788022788022786","25.61"
"ID_23803","30.541334889160975","21.129151563934176","25.0"
"ID_23808","33.383415736356916","23.57208239561181","25.0"
"ID_23694","28.082335774643468","11.585780816550047","20.0"
"ID_23756","22.5893355664348","12.480470495737672","23.374045801526716"
"ID_23695","25.146534580496848","12.064257347276214","20.150943396226417"
"ID_23754","25.58512762594395","11.060827387358","23.632653061224488"
"ID_23640","29.798948717867635","9.64298261595559","17.405405405405407"
"ID_23693","30.914676583967925","9.213316299930474","20.362204724409448"
"ID_23677","22.462810924349384","10.387221925683464","19.942307692307693"
"ID_23661","26.3164092951327","9.248945419158186","18.106382978723403"
"ID_23778","48.93776322347751","22.836879979737123","24.742857142857144"
"ID_23776","46.082888188151344","21.87475871686398","24.557894736842105"
"ID_23773","41.02316602316603","18.533268533268537","24.375"
"ID_23771","43.91779391779392","18.01126801126801","24.125"
